TEAM,TEAM_COLOR
Air Force,004a7b
Akron,001d44
Alabama,690014
Appalachian State,000000
Arizona,002449
Arizona State,942139
Arkansas,9c1831
Arkansas State,e81018
Army,ce9c00
Auburn,001126
Ball State,b30006
Baylor,003322
Boise State,003570
Boston College,88001a
Bowling Green,2b1000
Brigham Young,001c3c
Buffalo,004373
California,031522
Central Michigan,680011
Cincinnati,000000
Clemson,f35b0f
Colorado,d1c57e
Colorado State,004537
Connecticut,001d40
Duke,004582
East Carolina,4b1869
Eastern Michigan,00331b
Florida,002d69
Florida Atlantic,002450
Florida International,001538
Florida State,7f001b
Fresno State,003778
Georgia,a0000b
Georgia Southern,002c69
Georgia State,1e539a
Georgia Tech,001a38
Hawaii,003420
Houston,ee3a42
Idaho,000000
Illinois,f77329
Indiana,580000
Iowa,000000
Iowa State,660015
Kansas,0060a5
Kansas State,633194
Kent State,002445
Kentucky,004177
Louisiana Tech,002d65
Louisiana-Lafayette,ce2842
Louisiana-Monroe,3b0200
Louisville,ad000a
LSU,22005c
Marshall,00310f
Maryland,d60039
Massachusetts,880007
Memphis,002447
Miami (FL),004325
Miami (OH),a4000c
Michigan,001531
Michigan State,226b31
Middle Tennessee,00355e
Minnesota,410014
Mississippi State,750018
Missouri,000000
Navy,002238
Nebraska,fe0d04
Nevada,001532
New Mexico,000000
New Mexico State,5e0015
North Carolina,99bfe5
North Carolina State,d61a1a
North Texas,006342
Northern Illinois,e73139
Northwestern,372286
Notre Dame,00122b
Ohio,006342
Ohio State,a00612
Oklahoma,7b0000
Oklahoma State,ff7300
Old Dominion,003665
Ole Miss,001148
Oregon,022000
Oregon State,000000
Penn State,002148
Pittsburgh,00224a
Purdue,211818
Rice,00315a
Rutgers,b70005
San Diego State,231f20
San Jose State,003c73
South Alabama,004a7b
South Carolina,670010
South Florida,003829
Southern Methodist,e73139
Southern Miss,FFAA3C
Stanford,b72931
Syracuse,002045
TCU,201852
Temple,bc0138
Tennessee,d37907
Texas,cc5500
Texas A&M,6A3333
Texas State,4e1719
Texas Tech,d60039
Toledo,00275D
Troy,710012
Tulane,003622
Tulsa,004273
UAB,003b28
UCF,000000
UCLA,004775
UNLV,000000
USC,a50010
Utah,890012
Utah State,020767
UTEP,001533
UTSA,113b7d
Vanderbilt,000000
Virginia,00204e
Virginia Tech,64081d
Wake Forest,000000
Washington,3E3468
Washington State,94022a
West Virginia,001124
Western Kentucky,000000
Western Michigan,825229
Wisconsin,c32122
Wyoming,523921
